5,1,94.94,2000-01-31
21,1,88.13,2000-08-13
24,1,83.98,2000-08-04
27,1,80.94,2000-02-22
29,1,88.05,2000-05-11
30,1,96.79,2000-04-27
41,1,99.06,2000-09-13
43,1,80.91,2000-09-16
46,1,96.8,2000-07-22
47,1,93.9,2000-03-02
51,1,85.03,2000-06-30
55,1,84.65,2000-10-05
59,1,97.9,2000-08-09
67,1,86.77,2000-06-27
81,1,85.25,2000-06-23
84,1,93.08,2000-08-11
88,1,85.79,2000-04-19
95,1,87.92,2000-03-20
99,1,81.38,2000-11-09
102,1,84.19,2000-05-26
108,1,92.53,2000-12-06
121,1,98.3,2000-12-26
122,1,82.51,2000-12-14
123,1,83.02,2000-04-05
127,1,82.5,2000-11-20
128,1,81.45,2000-06-16
138,1,90.9,2000-08-12
141,1,81.27,2000-06-07
143,1,94.17,2000-08-13
146,1,99.96,2000-09-11
149,1,81.18,2000-05-18
153,1,91.19,2000-12-13
158,1,97.82,2000-10-01
160,1,86.73,2000-04-27
167,1,99.1,2000-11-02
169,1,80.55,2000-09-04
181,1,99.27,2000-07-03
185,1,83.28,2000-10-07
191,1,92.68,2000-01-07
193,1,86.71,2000-11-03
198,1,80.94,2000-01-23
199,1,88.47,2000-11-10
209,1,95.85,2000-07-07
225,1,93.66,2000-12-26
226,1,80.34,2000-09-20
227,1,83.51,2000-11-05
230,1,98.87,2000-12-07
235,1,93.8,2000-08-05
237,1,88.97,2000-10-18
245,1,94.04,2000-08-07
251,1,97.95,2000-12-27
260,1,86.42,2000-08-15
271,1,80.79,2000-07-22
273,1,80.99,2000-01-07
284,1,94.55,2000-01-03
286,1,84.83,2000-05-22
291,1,98.48,2000-09-22
299,1,91.12,2000-08-13
301,1,90.04,2000-11-08
302,1,95.39,2000-12-05
304,1,81.85,2000-03-05
309,1,92.38,2000-03-27
313,1,98.18,2000-05-19
314,1,85.44,2000-10-04
316,1,83.86,2000-01-03
326,1,93.42,2000-06-18
330,1,87.33,2000-07-16
349,1,85.89,2000-03-01
355,1,89.74,2000-11-06
364,1,98.11,2000-11-03
365,1,96.84,2000-05-19
371,1,89.89,2000-06-21
374,1,89.29,2000-10-02
377,1,93.99,2000-03-19
381,1,98.56,2000-04-25
382,1,92.63,2000-12-22
385,1,96.74,2000-11-22
386,1,86.95,2000-02-26
387,1,81.45,2000-11-18
394,1,81.69,2000-09-16
397,1,97.58,2000-10-21
400,1,91.68,2000-05-31
401,1,95.52,2000-05-04
402,1,89.72,2000-10-01
406,1,89.51,2000-05-18
408,1,96.85,2000-12-29
411,1,82.42,2000-05-20
432,1,82.68,2000-10-04
437,1,85.47,2000-01-25
438,1,81.11,2000-01-28
442,1,92.51,2000-08-23
444,1,86.64,2000-05-22
459,1,91.04,2000-02-12
462,1,94.46,2000-08-29
463,1,86.37,2000-09-26
464,1,90.96,2000-02-06
468,1,94.75,2000-12-11
470,1,88.65,2000-07-26
471,1,96.38,2000-09-21
476,1,98.97,2000-06-09
480,1,82.21,2000-02-20
481,1,99.18,2000-09-09
484,1,98.23,2000-11-28
485,1,93.45,2000-03-05
486,1,91.37,2000-02-22
487,1,95.1,2000-02-20
488,1,84.57,2000-05-04
493,1,90.05,2000-10-24
495,1,90.64,2000-09-23
497,1,96.39,2000-12-29
505,1,94.43,2000-01-19
511,1,91.97,2000-04-30
519,1,94.61,2000-01-18
524,1,86.03,2000-09-06
537,1,99.86,2000-04-26
539,1,80.81,2000-11-17
543,1,97.26,2000-03-11
551,1,89.31,2000-01-01
555,1,84.91,2000-01-07
558,1,97.45,2000-09-28
562,1,84.4,2000-11-04
563,1,91.07,2000-09-08
567,1,85.71,2000-10-17
568,1,91.94,2000-11-23
571,1,80.87,2000-03-18
574,1,82.49,2000-06-19
578,1,81.18,2000-11-06
580,1,95.79,2000-01-24
582,1,80.78,2000-11-02
591,1,90.15,2000-08-04
592,1,92.33,2000-09-21
594,1,84.19,2000-10-28
596,1,97.36,2000-06-22
599,1,90.99,2000-06-09
604,1,89.57,2000-04-09
606,1,83.83,2000-02-22
608,1,98.86,2000-03-03
614,1,95.11,2000-02-23
619,1,98.65,2000-01-02
622,1,88.88,2000-10-12
623,1,80.81,2000-02-04
626,1,82.08,2000-11-05
631,1,91.55,2000-07-25
636,1,81.74,2000-02-06
643,1,86.09,2000-08-06
644,1,95.83,2000-07-04
651,1,90.95,2000-06-09
653,1,87.41,2000-06-05
659,1,95.53,2000-01-22
671,1,98.53,2000-04-08
675,1,95.32,2000-08-04
678,1,80.85,2000-10-11
685,1,86.9,2000-12-07
688,1,84.26,2000-03-12
695,1,96.72,2000-02-08
698,1,99.49,2000-02-26
705,1,82.11,2000-05-21
712,1,82.47,2000-05-02
715,1,92.17,2000-04-03
731,1,90.59,2000-06-06
734,1,91.64,2000-08-31
739,1,98.28,2000-10-03
749,1,88.0,2000-12-07
756,1,87.19,2000-01-23
762,1,95.18,2000-10-29
766,1,99.89,2000-12-11
768,1,93.16,2000-06-16
776,1,96.32,2000-01-19
778,1,87.42,2000-03-30
780,1,84.2,2000-11-26
781,1,92.57,2000-06-28
783,1,85.62,2000-07-29
787,1,89.96,2000-01-13
790,1,95.48,2000-08-08
791,1,96.19,2000-12-18
802,1,90.94,2000-05-30
803,1,81.69,2000-04-22
806,1,90.31,2000-08-10
812,1,99.36,2000-06-01
825,1,93.45,2000-11-17
830,1,92.74,2000-02-14
842,1,83.12,2000-07-29
849,1,82.93,2000-05-16
856,1,90.7,2000-02-03
859,1,91.44,2000-04-06
868,1,96.18,2000-08-13
869,1,89.22,2000-12-14
882,1,93.08,2000-01-03
889,1,95.89,2000-03-22
896,1,86.8,2000-01-21
901,1,82.01,2000-04-22
906,1,82.92,2000-11-28
909,1,83.29,2000-11-30
916,1,88.34,2000-07-27
917,1,85.78,2000-09-13
919,1,89.74,2000-03-09
920,1,91.5,2000-12-02
924,1,97.53,2000-12-21
925,1,83.09,2000-12-13
930,1,87.56,2000-06-20
933,1,99.45,2000-11-30
936,1,97.47,2000-10-13
945,1,87.04,2000-04-15
946,1,81.01,2000-06-25
949,1,82.04,2000-07-19
950,1,82.07,2000-06-15
965,1,92.38,2000-02-15
977,1,96.13,2000-05-03
983,1,94.94,2000-11-01
991,1,80.73,2000-02-26
993,1,86.41,2000-06-05
995,1,98.48,2000-09-25
997,1,80.86,2000-12-05
998,1,83.44,2000-04-02
1001,1,90.7,2000-03-27
1005,1,84.87,2000-02-17
1011,1,82.04,2000-08-13
1015,1,95.1,2000-05-27
1016,1,85.96,2000-07-17
1018,1,95.14,2000-11-07
1022,1,81.41,2000-03-24
1027,1,85.61,2000-07-26
1029,1,98.41,2000-10-10
1032,1,80.12,2000-04-12
1040,1,97.92,2000-05-21
1043,1,95.79,2000-03-14
1058,1,91.81,2000-03-19
1059,1,97.18,2000-12-11
1069,1,83.44,2000-12-27
1076,1,96.88,2000-11-19
1088,1,94.87,2000-07-10
1089,1,98.56,2000-03-01
1095,1,88.15,2000-07-03
1102,1,87.35,2000-01-11
1104,1,90.29,2000-01-18
1106,1,93.78,2000-09-06
1111,1,87.42,2000-03-23
1112,1,83.92,2000-09-09
1114,1,92.1,2000-01-12
1115,1,80.0,2000-07-06
1116,1,91.13,2000-06-17
1118,1,98.1,2000-01-24
1122,1,92.4,2000-08-22
1125,1,84.12,2000-06-13
1128,1,92.54,2000-05-30
1132,1,96.06,2000-09-27
1135,1,99.08,2000-01-15
1147,1,96.47,2000-07-24
1158,1,81.89,2000-07-30
1161,1,92.25,2000-04-02
1173,1,98.64,2000-10-02
1179,1,96.78,2000-10-25
1184,1,94.38,2000-11-07
1185,1,94.5,2000-02-26
1193,1,99.35,2000-01-26
1194,1,82.74,2000-10-05
1200,1,96.0,2000-08-18
1202,1,94.11,2000-08-01
1203,1,92.2,2000-12-12
1213,1,98.06,2000-04-09
1218,1,98.14,2000-07-27
1224,1,89.04,2000-10-11
1225,1,88.73,2000-02-10
1226,1,84.52,2000-02-07
1232,1,81.01,2000-08-30
1233,1,87.73,2000-01-23
1245,1,94.42,2000-10-30
1247,1,89.41,2000-09-30
1250,1,95.66,2000-07-06
1252,1,94.2,2000-12-29
1262,1,80.06,2000-05-12
1265,1,97.61,2000-01-16
1266,1,82.04,2000-09-30
1267,1,80.15,2000-11-07
1268,1,84.57,2000-06-13
1269,1,85.38,2000-11-16
1271,1,92.91,2000-02-25
1275,1,89.3,2000-05-29
1283,1,99.38,2000-05-27
1284,1,81.14,2000-10-03
1291,1,91.03,2000-01-17
1294,1,81.08,2000-03-20
1297,1,95.08,2000-10-11
1299,1,89.84,2000-12-01
1300,1,95.95,2000-09-23
